Strain,Stress,Strain Rate,Temperature
0.01324,40.82237,0.001,250
0.0133,41.01109,0.001,250
0.01336,41.1998,0.001,250
0.01343,41.38852,0.001,250
0.01349,41.57724,0.001,250
0.01355,41.76595,0.001,250
0.01362,41.95467,0.001,250
0.01368,42.14338,0.001,250
0.01374,42.3321,0.001,250
0.0138,42.52082,0.001,250
0.01387,42.70953,0.001,250
0.01393,42.89825,0.001,250
0.01399,43.08696,0.001,250
0.01405,43.27568,0.001,250
0.01412,43.46439,0.001,250
0.01418,43.65311,0.001,250
0.01424,43.84183,0.001,250
0.0143,44.03054,0.001,250
0.01436,44.21926,0.001,250
0.01443,44.40797,0.001,250
0.01449,44.59669,0.001,250
0.01455,44.7854,0.001,250
0.01461,44.97412,0.001,250
0.01467,45.16284,0.001,250
0.01474,45.35155,0.001,250
0.0148,45.54027,0.001,250
0.01486,45.72898,0.001,250
0.01492,45.9177,0.001,250
0.01498,46.10641,0.001,250
0.01505,46.29513,0.001,250
0.01511,46.48385,0.001,250
0.01517,46.67256,0.001,250
0.01523,46.86128,0.001,250
0.01529,47.04999,0.001,250
0.01535,47.23871,0.001,250
0.01542,47.42743,0.001,250
0.01548,47.61614,0.001,250
0.01554,47.80486,0.001,250
0.0156,47.99357,0.001,250
0.01566,48.18229,0.001,250
0.01572,48.371,0.001,250
0.01579,48.55972,0.001,250
0.01585,48.74844,0.001,250
0.01591,48.93715,0.001,250
0.01597,49.12587,0.001,250
0.01603,49.31458,0.001,250
0.01609,49.5033,0.001,250
0.01615,49.69201,0.001,250
0.01621,49.88073,0.001,250
0.01628,50.06945,0.001,250
0.01634,50.25816,0.001,250
0.0164,50.44688,0.001,250
0.01646,50.63559,0.001,250
0.01652,50.82431,0.001,250
0.01658,51.01302,0.001,250
0.01664,51.20174,0.001,250
0.0167,51.39046,0.001,250
0.01677,51.57917,0.001,250
0.01683,51.76789,0.001,250
0.01689,51.9566,0.001,250
0.01695,52.14532,0.001,250
0.01701,52.33404,0.001,250
0.01708,52.52275,0.001,250
0.01714,52.71147,0.001,250
0.0172,52.90018,0.001,250
0.01726,53.0889,0.001,250
0.01733,53.27761,0.001,250
0.01739,53.46633,0.001,250
0.01745,53.65505,0.001,250
0.01751,53.84376,0.001,250
0.01758,54.03248,0.001,250
0.01764,54.22119,0.001,250
0.0177,54.40991,0.001,250
0.01776,54.59862,0.001,250
0.01782,54.78734,0.001,250
0.01788,54.97606,0.001,250
0.01794,55.16477,0.001,250
0.018,55.35349,0.001,250
0.01806,55.5422,0.001,250
0.01812,55.73092,0.001,250
0.01818,55.91963,0.001,250
0.01823,56.10835,0.001,250
0.01829,56.29707,0.001,250
0.01835,56.48578,0.001,250
0.01841,56.6745,0.001,250
0.01847,56.86321,0.001,250
0.01853,57.05193,0.001,250
0.01859,57.24064,0.001,250
0.01865,57.42936,0.001,250
0.01871,57.61808,0.001,250
0.01876,57.80679,0.001,250
0.01882,57.99551,0.001,250
0.01888,58.18422,0.001,250
0.01894,58.37294,0.001,250
0.019,58.56166,0.001,250
0.01905,58.75037,0.001,250
0.01911,58.93909,0.001,250
0.01917,59.1278,0.001,250
0.01923,59.31652,0.001,250
0.01928,59.50523,0.001,250
0.01934,59.69395,0.001,250
0.0194,59.88267,0.001,250
0.01946,60.07138,0.001,250
0.01951,60.2601,0.001,250
0.01957,60.44881,0.001,250
0.01963,60.63753,0.001,250
0.01969,60.82624,0.001,250
0.01975,61.01496,0.001,250
0.01982,61.20368,0.001,250
0.01988,61.39239,0.001,250
0.01995,61.58111,0.001,250
0.02001,61.76982,0.001,250
0.02007,61.95854,0.001,250
0.02014,62.14725,0.001,250
0.0202,62.33597,0.001,250
0.02026,62.52469,0.001,250
0.02033,62.7134,0.001,250
0.02039,62.90212,0.001,250
0.02046,63.09083,0.001,250
0.02052,63.27955,0.001,250
0.02058,63.46827,0.001,250
0.02065,63.65698,0.001,250
0.02071,63.8457,0.001,250
0.02078,64.03441,0.001,250
0.02084,64.22313,0.001,250
0.02091,64.41184,0.001,250
0.02097,64.60056,0.001,250
0.02104,64.78928,0.001,250
0.0211,64.97799,0.001,250
0.02117,65.16671,0.001,250
0.02123,65.35542,0.001,250
0.0213,65.54414,0.001,250
0.02136,65.73285,0.001,250
0.02143,65.92157,0.001,250
0.02149,66.11029,0.001,250
0.02156,66.299,0.001,250
0.02162,66.48772,0.001,250
0.02169,66.67643,0.001,250
0.02175,66.86515,0.001,250
0.02181,67.05386,0.001,250
0.02187,67.24258,0.001,250
0.02192,67.4313,0.001,250
0.02198,67.62001,0.001,250
0.02204,67.80873,0.001,250
0.02209,67.99744,0.001,250
0.02215,68.18616,0.001,250
0.02221,68.37488,0.001,250
0.02227,68.56359,0.001,250
0.02232,68.75231,0.001,250
0.02238,68.94102,0.001,250
0.02244,69.12974,0.001,250
0.02249,69.31845,0.001,250
0.02255,69.50717,0.001,250
0.02261,69.69589,0.001,250
0.02267,69.8846,0.001,250
0.02272,70.07332,0.001,250
0.02278,70.26203,0.001,250
0.02285,70.45075,0.001,250
0.02291,70.63946,0.001,250
0.02297,70.82818,0.001,250
0.02303,71.0169,0.001,250
0.02309,71.20561,0.001,250
0.02315,71.39433,0.001,250
0.02321,71.58304,0.001,250
0.02327,71.77176,0.001,250
0.02333,71.96047,0.001,250
0.02339,72.14919,0.001,250
0.02345,72.33791,0.001,250
0.02351,72.52662,0.001,250
0.02358,72.71534,0.001,250
0.02364,72.90405,0.001,250
0.0237,73.09277,0.001,250
0.02376,73.28148,0.001,250
0.02382,73.4702,0.001,250
0.02387,73.65892,0.001,250
0.02393,73.84763,0.001,250
0.02399,74.03635,0.001,250
0.02405,74.22506,0.001,250
0.02411,74.41378,0.001,250
0.02417,74.6025,0.001,250
0.02423,74.79121,0.001,250
0.02429,74.97993,0.001,250
0.02435,75.16864,0.001,250
0.0244,75.35736,0.001,250
0.02446,75.54607,0.001,250
0.02452,75.73479,0.001,250
0.02458,75.92351,0.001,250
0.02464,76.11222,0.001,250
0.0247,76.30094,0.001,250
0.02476,76.48965,0.001,250
0.02482,76.67837,0.001,250
0.02488,76.86708,0.001,250
0.02494,77.0558,0.001,250
0.025,77.24452,0.001,250
0.02506,77.43323,0.001,250
0.02512,77.62195,0.001,250
0.02518,77.81066,0.001,250
0.02524,77.99938,0.001,250
0.0253,78.18809,0.001,250
0.02536,78.37681,0.001,250
0.02542,78.56553,0.001,250
0.02548,78.75424,0.001,250
0.02554,78.94296,0.001,250
0.0256,79.13167,0.001,250
0.02566,79.32039,0.001,250
0.02572,79.50911,0.001,250
0.02578,79.69782,0.001,250
0.02585,79.88654,0.001,250
0.02591,80.07525,0.001,250
0.02597,80.26397,0.001,250
0.02603,80.45268,0.001,250
0.0261,80.6414,0.001,250
0.02616,80.83012,0.001,250
0.02622,81.01883,0.001,250
0.02628,81.20755,0.001,250
0.02635,81.39626,0.001,250
0.02641,81.58498,0.001,250
0.02647,81.77369,0.001,250
0.02653,81.96241,0.001,250
0.0266,82.15113,0.001,250
0.02666,82.33984,0.001,250
0.02672,82.52856,0.001,250
0.02678,82.71727,0.001,250
0.02685,82.90599,0.001,250
0.02691,83.0947,0.001,250
0.02697,83.28342,0.001,250
0.02703,83.47214,0.001,250
0.02709,83.66085,0.001,250
0.02716,83.84957,0.001,250
0.02722,84.03828,0.001,250
0.02728,84.227,0.001,250
0.02734,84.41572,0.001,250
0.02741,84.60443,0.001,250
0.02747,84.79315,0.001,250
0.02753,84.98186,0.001,250
0.02759,85.17058,0.001,250
0.02766,85.35929,0.001,250
0.02772,85.54801,0.001,250
0.02778,85.73673,0.001,250
0.02784,85.92544,0.001,250
0.0279,86.11416,0.001,250
0.02796,86.30287,0.001,250
0.02802,86.49159,0.001,250
0.02808,86.6803,0.001,250
0.02814,86.86902,0.001,250
0.0282,87.05774,0.001,250
0.02826,87.24645,0.001,250
0.02832,87.43517,0.001,250
0.02838,87.62388,0.001,250
0.02844,87.8126,0.001,250
0.0285,88.00131,0.001,250
0.02856,88.19003,0.001,250
0.02862,88.37875,0.001,250
0.02868,88.56746,0.001,250
0.02874,88.75618,0.001,250
0.0288,88.94489,0.001,250
0.02887,89.13361,0.001,250
0.02893,89.32232,0.001,250
0.02899,89.51104,0.001,250
0.02906,89.69976,0.001,250
0.02912,89.88847,0.001,250
